345	930	503
72	710	102
776	630	111
857	921	333
336	278	383
228	342	639
294	837	198
593	506	238
914	172	252
242	500	150
72	754	557
158	603	398
264	449	369
216	790	839
264	93	294
632	844	166
604	181	207
830	46	111
210	507	991
740	245	126
889	676	917
512	658	874
520	787	927
785	138	780
220	685	278
328	570	644
80	148	276
379	595	447
440	978	271
360	301	207
568	61	886
689	916	157
495	885	703
984	778	477
608	483	614
442	539	365
762	908	551
410	821	221
298	766	535
770	30	279
200	61	639
760	579	247
272	746	262
850	635	829
224	77	671
698	70	487
289	609	551
914	622	135
800	194	607
921	855	639
612	212	935
776	483	550
851	941	951
73	362	867
993	426	378
778	285	861
456	401	162
73	313	382
674	843	519
404	422	15
104	434	636
411	644	215
803	527	551
626	204	303
577	211	420
954	492	527
965	227	853
752	835	901
42	860	909
155	876	982
682	292	983
51	292	61
320	549	639
970	341	847
432	333	335
706	826	78
368	729	787
139	542	623
20	877	165
504	67	286
704	325	775
873	690	663
409	666	302
907	244	358
750	478	319
995	53	598
784	88	959
728	644	485
945	363	662
700	836	270
89	569	237
152	233	638
408	529	312
208	789	79
797	486	367
561	498	665
256	210	605
622	515	38
272	65	70
48	826	524
873	660	598
914	172	766
194	363	220
808	387	806
33	301	966
331	852	527
1000	137	162
535	997	415
297	172	529
51	507	396
73	338	630
307	748	517
971	77	333
579	52	303
601	571	225
827	508	631
947	412	749
910	702	22
927	205	887
50	53	463
192	218	266
932	613	534
256	88	583
888	852	423
40	954	367
832	361	751
872	9	491
169	970	487
864	912	189
513	921	487
977	267	412
480	225	511
644	725	559
137	266	107
248	428	567
872	425	83
826	644	630
753	830	297
729	149	158
320	183	439
560	801	151
961	652	117
888	553	997
80	299	159
560	885	78
1000	283	363
257	874	55
848	717	464
624	946	596
468	334	572
596	150	143
466	283	724
400	619	764
832	243	968
517	197	327
417	282	761
425	859	383
920	700	678
257	402	828
266	942	95
201	981	551
960	588	750
802	443	893
292	260	319
691	52	294
402	387	507
326	947	206
392	921	95
178	250	335
609	806	774
28	772	534
864	417	150
88	875	788
350	812	790
681	682	277
578	302	255
355	308	343
634	389	191
447	5	647
706	298	116
897	427	909
500	837	486
674	917	943
376	535	735
131	599	95
200	284	727
946	907	621
145	302	911
457	116	822
489	876	524
458	413	599
7	517	687
568	665	859
216	599	767
424	27	349
457	90	662
360	300	221
385	765	662
56	600	702
732	508	518
152	185	634
660	197	295
305	770	228
49	906	627
128	704	719
229	630	879
313	876	503
650	859	796
722	874	871
173	654	415
592	259	974
824	564	912
574	4	62
249	562	993
